Text,Author
"respostas ecologia evolutiva retirar amostra planta mata replanta-la recipiente solo carente água. outro ambiente, desde poucos recurso hídricos. plantas mesma espécie, possivelmente raízes tenderiam crescer busca água nutrientes. caso haver plasticidade fenotípica; poderia ser ter ocorrido efeito gargalo garrafa, alelos possibilitaram plasticidade perdidos seleção natural; poderia ter ocorrido outro processo, efeito fundador, após seleção sobrou poucos indivíduos possuiriam alelos usar estratégia. caso todas possuírem estratégia, poderia ser fato ambiente passava períodos seca somente informação genética conseguiam sobreviver reproduzir, propagando alelos próximas gerações (seleção natural). plantas possuíssem plasticidade, poderiam ter sobrevivido devido outras características tornava capaz suportar pressões meio. exemplo cactos, precisam crescer raízes, possuem estrutura armazena água outra evita perda água meio. favoreceria presença determinada situação estresse (pressão ambiental) repetida indivíduos possuíssem determinada informação plasticidade, favoreça, conseguiriam suportar reproduzir causa dessa plasticidade, possuíssem conseguiriam suportar eliminados ambiente. exemplo planta passa períodos seca frequente, possui alelos permitem alongamento raízes, plantas conseguem sobreviver, possuíssem eliminadas ambiente. favoreceria ausência indivíduos possuem outra características fenotípicas possibilita suporta pressões ambiente, nesse caso plasticidade irrelevante. repetindo exemplo cacto, planta vai gastar energia fazendo raízes crescerem possui outras estruturas, desenvolvidas, servem armazenar evitar perda água nutrientes, quais duram tempo bastante. apenas desperdício energia!",pdje
"1 - competição membros espécies diferentes usam mesmos recursos limitados. recursos costumam ser limitados habitat muitas espécies podem competir consegui-los. efeito geral competição interespecífica negativo duas espécies participantes, seja, cada espécie estaria melhor outra espécie presente. tudo referente complementaridade nicho princípio exclusão competitiva diz duas espécies competidoras podem concorrer determinado local, precisam possuir nichos realizados diferentes. 2 - referente primeiro estudo caso (asterionella formosa/ synedra ulna) ocorrência competitiva devido recurso (silicato) apresenta princípio exclusão competitivas onde ambas ocupando nicho capacidade suporte influencia exclusão espécie. segundo caso relação coexistência diversidade espécie peixe-palhaço relacionada quantidade anêmonas onde principal recursos abrigo possibilitando produtividade perpetuação espécie peixe, além disso, devido população desse peixe ligado recurso limitante anêmona criando diversidade utiliza diferentes nichos devido distanciamento cada anêmona estudo. 3 - princípio exclusão competitiva ou, chamado, lei gause, proposição afirma que, ambiente estável indivíduos distribuem forma homogênea, duas espécies nichos ecológicos parecidos podem coexistir, devido pressão evolutiva exercida competição. acordo princípio, competidores terminará sobrepujar outro, pode acarretar mudanças morfológicas, comportamentais, deslocamento nicho ecológico extinção espécie desvantagem. suma, conceito quer dizer competidores completos podem coexistir.",fadj
"embora temática questão ambiental crescente anos, inegável mergulhados crise ambiental. vez, notável tal possui origem sistêmica, vez esfera mundial atual globalizada tudo interliga, e, poderia ser diferente tocante meio ambiente.",sdjme
"vem cada dia buscando entender relações estabelecidas seres meio ambiente, afin proporcionar habitat favorável diversas forma vida. sendo necessário produção conhecimento teórico colocado prática afin poder analisar cada espécie respectivas características, podendo assim conhecer processos migração, extinção introdução espécies habitat, assim poder realizar procedimentos preventivos manter estabilidade, principalmente ambientes tido frágeis, bem manter conectância habitats apesar dimensões fractais. importância ter controle espécies endêmicas exóticas ocorra desequilíbrio ecossistema, sim busque harmonia todos seres daquele ambiente. ciência, busca soluções visem estabelecer prioridades conservação; faz-se necessário conhecimento teórico prática eficaz, garantindo melhoramento conservação biológica. 2) afin explicar variação riqueza espécies durante tempo ecológico. propõe variação riqueza pode ser constante, ainda mudanças taxonômicas. tempo ecológico, catástrofe perturbações impedem dificultam equilíbrio espécies; imigração homogêneos dentro arquipélagos. todas espécies independentes equivalents.. dificuldade relação mudanças quantidade variedade existente táxons. 3) obstáculos implantação estudos monitoramento; problemas definição números variáveis serem examinadas determinadas. 4) diversidade espécies; conectância; força interações. 5) favorece elaboração hipóteses todavia nao valor determinado visto mudanças, principalmente quantidade, varia rapidamente, ainda pode fornecer informações grande importância. 6) a: existe postura ética religiosa afin garantir sobrevivência dessas espécies, tendo vista têm papel importante ecossistema; restrição determinada área significa fragilidade, raras endêmicas precisam ter sempre cuidados afin mantê-las bem. b: podem consumir espécies nativas, infectá-las excluí-las competitivamente, alterando funcionamento ecossistema. podem conviver desde conhecimento interferência. 7) propício interferencias outros ambientes, visto cuidar parte ambiente deixar outra parte devido cuidado nao tendo muitas vantagens, deixa arredores dependentes condições menos favorecidas.",sdfi
"pode-se dizer que, conservar dado habitat dada espécie normalmente implica gastos recursos. entanto, ecologia propõe ajudar busca soluções problemas ambientais, acredita-se necessidade crescimento teórico ecologia aumentar poder preditivo capacidade resolver problemas práticos, seja, crê ecologia deva ir teoria explicação caso. nisto reside grande papel pode desempenhar termos avanço científico ecologia conservação. fronteiras guardam grande parte riqueza biológica planeta, cabe domínio ciências.",bmm
"estudos ambientais, entende-se hotspot toda área natural cuja preservação prioridade níveis mundiais razão elevadas ameaças extinção. definição, considerada hotspot toda área menos 1500 espécies endêmicas (que existem naquela região) perdeu ¾ vegetação original. brasil, dois domínios naturais classificados tal: cerrado mata atlântica. expressão hotspot utilizada várias áreas conhecimento, tecnologia informação genética, quer dizer, tradução livre, ?pontos quentes?. ambientais, conceito desenvolvido ecólogo inglês norman myers, 1988, objetivo delimitar áreas preservação urgente planeta terra. estudo, myers inicialmente classificou dez domínios naturais hotspots, incluindo notadamente florestas tropicais. brasil, nesse momento, incluiu-se apenas mata atlântica. dentre outras dessas áreas, destacam-se espaço natural madagascar andes, último américa sul.",sdjme
"mata atlântica hotspot mundo virtude grande endemismo, áreas são, portanto, locais necessitam atenção urgente, sendo considerados prioritários programas conservação. através hotspot grupos conservação poderiam salvar espécies menor área e, presumivelmente, custo baixo outros lugares. problema encontrado hotspot dificuldade localizar onde exatamente todas espécies desconhecidas poderiam ocorrer. isso, comunidade científica continua aperfeiçoando conhecimentos distribuições espécies. cientistas cada vez usam modelos computadorizados aperfeiçoar esforços. avanços sensoriamento remoto sistemas informações geográficas permitindo assim estender informação limitada campo áreas grandes demais inspecionar detalhes. resultados desses modelos podem então fornecer dados análises hotspot escalas refinadas.",bmm
"questão 01 1. patrimônio natural: patrimônio natural país reúne áreas importância preservacionista histórica. áreas transmitem importância ambiente natural possamos lembrar passado, onde viemos, fazendo ambiente onde vamos. 2. demografia:é área sociais estuda dinâmica populacional humana. objeto estudo engloba dimensões, estatísticas, estrutura distribuição diversas populações humanas. 3. limnologia: estudo reações funcionais produtividade comunidades bióticas lagos, rios, reservatórios região costeira relação parâmetros físicos, químicos bióticos ambientais. 4. insularidade: pode ser utilizado caracterizar definir ilha. consegue comunicar terra outros locais. [figurado] estado daquilo assemelha possui qualidades ilha. questão 03 literatura científica, termos intercambiáveis diversidade biológica biodiversidade surgiram dar conta questões relacionadas temas fundamentais ecologia biologia evolutiva, relacionados diversidade espécies ambientes servem suporte, tempo suportados são, simultaneamente, palco resultado ? sempre inacabado ? processo evolutivo. biodiversidade diversidade biológica tornaram-se amplo uso meios científicos ativistas conservação. sarkar (2002)",sdjme
"conceito biodiversidade interdependentes. artigo franco apresenta significado conceito biodiversidade história , mostrando caminhos percorridos, partir diálogo diversos pesquisadores. abordagem crítica autor leva refletir ciência, ética desafio conservar proteger biodiversidade. 1. quais termos novos encontrados texto? busque significado definição termos conhece. r -insight: compreensão súbita alguma coisa determinada situação; definição: discernimento, esclarecimento. ecólogo: ecologia; ecologista; definição: estuda seres vivos interações meio onde vivem. turnover: virada; renovação; reversão; definição: rotatividade pessoas. protótipo: modelo molde futuras produções; definições: desenvolvimento produtos. profícua: produto; útil; definição: tende ser rentável. depressão endogâmica: fenômeno ocorre acasalamentos consanguíneos. definição: aumento homozigose. ornitólogo: pessoa dedica estudos aves; definição: ramo zoologia estuda aves. insularidade: ilha conjunto ilhas; definição: algo alguém habita ínsula (ilha); insulado. estocástico: diz-se processos dependem leis acaso. definição: coleção variáveis aleatórias que, geral, utilizadas estudar evolução fenômenos (ou sistemas) observados longo tempo. r - pág. 19, daniel simbeloff: “ argumentava que, embora reservas grandes fundamentais, muitas pequenas reservas cumpriam papel importante”. pág. 14, “eles argumentam, sobretudo, contra generalizações, defendendo idéia pequenas reservas isoladas poderiam eventualmente conter maior número espécies única grande.” 3. ? r - “ preservação wildernes conservação biodiversidade” tradição preservação wilderness abarca autores henry david john min, passando aldo leopold desembocar deep ecology arne naess, george sessions bill devall. enfatiza autonomia natureza selvagem, aspecto indomado sublime. percepção mundo natural criado humanos humanos conduz afirmação caráter transcendental atribuição valor intrínseco.",bmm
"interdisciplinaridade ocorre “ligação” duas disciplinas, importante lembrar somo fragmentamos exatas, naturais humanas; termo “ligação”. exemplo bom exemplo interdisciplinaridade problema situação preciso usar exatas juntas naturais: situação mergulhador precisa descer determinada profundidade encontrar organismo marinho; nesse caso preciso considerar pressão água (física), profundidade relação pressão (matemática), tempo adaptação corpo humano (biologia), além outros fatores. perceptível preciso usar entender trabalhar situação. transversalidade, contexto educacional, trabalho didático integram temas estudados situações reais, aproximação conhecimento científico ensinado sala situações vivenciadas cotidiano. exemplo, comunidade cidade surto doença viral, responsabilidade naturais biologia tratar deste tema sala visando compreensão associação realidade vivida",pdje
