Text,Author
"MUDAS ALGUMAS ESPÉCIES SUBMETIDAS EXPERIMENTOS SEREM TRANSPLANTADAS SACOS PLÁSTICOS PRETOS CAPACIDADE 4,5L, CONTENDO SUBSTRATO COMERCIAL OUTRAS PLANTAS ARBÓREAS SUBMETIDAS TRATAMENTO TOTAL CONTATO LUZ SOLAR LOCAL ABERTO TRANSPLANTADAS SOLO ADUBADO. AMBAS PLANTAS ONDE REALIZADOS EXPERIMENTOS RESULTADO, EXCETO ARBÓREAS MAIORES RESPOSTAS QUANTO CRESCIMENTO. CULTIVADAS SOLO ADUBADA MAIOR INCIDÊNCIA SOLAR, MOSTRARAM MAIOR SUCESSO CRESCIMENTO ESTABILIDADE ECOLÓGICA CULTIVADAS SACO PRETO CONTATO LUZ SOL. DEVIDO ALGUMAS ESPÉCIES SEREM CAPAZES ADAPTAR-SE DETERMINADO AMBIENTE, TANTO MAIOR MENOR GRAU (°), PLASTICIDADE FENOTÍPICA ACABA SER FUNDAMENTAL MANUTENÇÃO SOBREVIVÊNCIA ALGUMAS ESPÉCIES. ENTENDEM DEVEM ADAPTAR MANTER PROCESSO CRESCIMENTO. VEGETAIS NECESSARIAMENTE PRECISAM PLASTICIDADE FENOTÍPICA, POIS COMPOSIÇÃO INTERNA FATORES FAVOREÇAM CRESCIMENTO, EXISTA ALGO PERMITA ALTERAÇÃO FISIOLÓGICA MORFOLÓGICA, DETERMINADO AMBIENTE CLIMA. MEIOS EVOLUTIVOS CERTAS ESPÉCIES, PLASTICIDADE FENOTÍPICA FAVORECE PODE DESFAVORECER CERTO MODO, EXEMPLO, FOLHAS BOLDO MIRIM (PLECTRANTHUS NEOCHILUS SCHLTR.) CULTIVADAS SOMBRA TAMANHO 2 VEZES MAIOR CULTIVADAS SOL INTENSO, DEVIDO NECESSIDADE ENCONTRAR LUZ SOLAR.",ANNBIALEA
"RESPOSTAS ECOLOGIA EVOLUTIVA RETIRAR AMOSTRA PLANTA MATA REPLANTA-LA RECIPIENTE SOLO CARENTE ÁGUA. OUTRO AMBIENTE, DESDE POUCOS RECURSO HÍDRICOS. PLANTAS MESMA ESPÉCIE, POSSIVELMENTE RAÍZES TENDERIAM CRESCER BUSCA ÁGUA NUTRIENTES. CASO HAVER PLASTICIDADE FENOTÍPICA; PODERIA SER TER OCORRIDO EFEITO GARGALO GARRAFA, ALELOS POSSIBILITARAM PLASTICIDADE PERDIDOS SELEÇÃO NATURAL; PODERIA TER OCORRIDO OUTRO PROCESSO, EFEITO FUNDADOR, APÓS SELEÇÃO SOBROU POUCOS INDIVÍDUOS POSSUIRIAM ALELOS USAR ESTRATÉGIA. CASO TODAS POSSUÍREM ESTRATÉGIA, PODERIA SER FATO AMBIENTE PASSAVA PERÍODOS SECA SOMENTE INFORMAÇÃO GENÉTICA CONSEGUIAM SOBREVIVER REPRODUZIR, PROPAGANDO ALELOS PRÓXIMAS GERAÇÕES (SELEÇÃO NATURAL). PLANTAS POSSUÍSSEM PLASTICIDADE, PODERIAM TER SOBREVIVIDO DEVIDO OUTRAS CARACTERÍSTICAS TORNAVA CAPAZ SUPORTAR PRESSÕES MEIO. EXEMPLO CACTOS, PRECISAM CRESCER RAÍZES, POSSUEM ESTRUTURA ARMAZENA ÁGUA OUTRA EVITA PERDA ÁGUA MEIO. FAVORECERIA PRESENÇA DETERMINADA SITUAÇÃO ESTRESSE (PRESSÃO AMBIENTAL) REPETIDA INDIVÍDUOS POSSUÍSSEM DETERMINADA INFORMAÇÃO PLASTICIDADE, FAVOREÇA, CONSEGUIRIAM SUPORTAR REPRODUZIR CAUSA DESSA PLASTICIDADE, POSSUÍSSEM CONSEGUIRIAM SUPORTAR ELIMINADOS AMBIENTE. EXEMPLO PLANTA PASSA PERÍODOS SECA FREQUENTE, POSSUI ALELOS PERMITEM ALONGAMENTO RAÍZES, PLANTAS CONSEGUEM SOBREVIVER, POSSUÍSSEM ELIMINADAS AMBIENTE. FAVORECERIA AUSÊNCIA INDIVÍDUOS POSSUEM OUTRA CARACTERÍSTICAS FENOTÍPICAS POSSIBILITA SUPORTA PRESSÕES AMBIENTE, NESSE CASO PLASTICIDADE IRRELEVANTE. REPETINDO EXEMPLO CACTO, PLANTA VAI GASTAR ENERGIA FAZENDO RAÍZES CRESCEREM POSSUI OUTRAS ESTRUTURAS, DESENVOLVIDAS, SERVEM ARMAZENAR EVITAR PERDA ÁGUA NUTRIENTES, QUAIS DURAM TEMPO BASTANTE. APENAS DESPERDÍCIO ENERGIA!",PDJE
"1 - COMPETIÇÃO MEMBROS ESPÉCIES DIFERENTES USAM MESMOS RECURSOS LIMITADOS. RECURSOS COSTUMAM SER LIMITADOS HABITAT MUITAS ESPÉCIES PODEM COMPETIR CONSEGUI-LOS. EFEITO GERAL COMPETIÇÃO INTERESPECÍFICA NEGATIVO DUAS ESPÉCIES PARTICIPANTES, SEJA, CADA ESPÉCIE ESTARIA MELHOR OUTRA ESPÉCIE PRESENTE. TUDO REFERENTE COMPLEMENTARIDADE NICHO PRINCÍPIO EXCLUSÃO COMPETITIVA DIZ DUAS ESPÉCIES COMPETIDORAS PODEM CONCORRER DETERMINADO LOCAL, PRECISAM POSSUIR NICHOS REALIZADOS DIFERENTES. 2 - REFERENTE PRIMEIRO ESTUDO CASO (ASTERIONELLA FORMOSA/ SYNEDRA ULNA) OCORRÊNCIA COMPETITIVA DEVIDO RECURSO (SILICATO) APRESENTA PRINCÍPIO EXCLUSÃO COMPETITIVAS ONDE AMBAS OCUPANDO NICHO CAPACIDADE SUPORTE INFLUENCIA EXCLUSÃO ESPÉCIE. SEGUNDO CASO RELAÇÃO COEXISTÊNCIA DIVERSIDADE ESPÉCIE PEIXE-PALHAÇO RELACIONADA QUANTIDADE ANÊMONAS ONDE PRINCIPAL RECURSOS ABRIGO POSSIBILITANDO PRODUTIVIDADE PERPETUAÇÃO ESPÉCIE PEIXE, ALÉM DISSO, DEVIDO POPULAÇÃO DESSE PEIXE LIGADO RECURSO LIMITANTE ANÊMONA CRIANDO DIVERSIDADE UTILIZA DIFERENTES NICHOS DEVIDO DISTANCIAMENTO CADA ANÊMONA ESTUDO. 3 - PRINCÍPIO EXCLUSÃO COMPETITIVA OU, CHAMADO, LEI GAUSE, PROPOSIÇÃO AFIRMA QUE, AMBIENTE ESTÁVEL INDIVÍDUOS DISTRIBUEM FORMA HOMOGÊNEA, DUAS ESPÉCIES NICHOS ECOLÓGICOS PARECIDOS PODEM COEXISTIR, DEVIDO PRESSÃO EVOLUTIVA EXERCIDA COMPETIÇÃO. ACORDO PRINCÍPIO, COMPETIDORES TERMINARÁ SOBREPUJAR OUTRO, PODE ACARRETAR MUDANÇAS MORFOLÓGICAS, COMPORTAMENTAIS, DESLOCAMENTO NICHO ECOLÓGICO EXTINÇÃO ESPÉCIE DESVANTAGEM. SUMA, CONCEITO QUER DIZER COMPETIDORES COMPLETOS PODEM COEXISTIR.",FADJ
"EMBORA TEMÁTICA QUESTÃO AMBIENTAL CRESCENTE ANOS, INEGÁVEL MERGULHADOS CRISE AMBIENTAL. VEZ, NOTÁVEL TAL POSSUI ORIGEM SISTÊMICA, VEZ ESFERA MUNDIAL ATUAL GLOBALIZADA TUDO INTERLIGA, E, PODERIA SER DIFERENTE TOCANTE MEIO AMBIENTE.",SDJME
"EPISTEMOLOGIA: SIGNIFICA CIÊNCIA, CONHECIMENTO, ESTUDO CIENTÍFICO TRATA PROBLEMAS RELACIONADOS CRENÇA CONHECIMENTO, NATUREZA LIMITAÇÕES. EPISTEMOLOGIA ESTUDA ORIGEM, ESTRUTURA, MÉTODOS VALIDADE CONHECIMENTO, CONHECIDA TEORIA CONHECIMENTO RELACIONA-SE METAFÍSICA, LÓGICA FILOSOFIA CIÊNCIA. SUBSÍDIO: AUXÍLIO, AJUDA, APORTE, BENEFÍCIO. SUBSÍDIO CONTRIBUIÇÃO FINANCEIRA OUTRA ORDEM, PRESTA QUALQUER EMPRESA PARTICULARES FINALIDADE AJUDAR SOCORRER. PESSIMISTA: PESSIMISTA ADJETIVO QUALIFICA PESSOA PREFERE ENXERGAR LADO NEGATIVO COISAS, ESPERANDO SEMPRE PIOR TODAS SITUAÇÕES. PESSIMISTA OPOSTO OTIMISTA. EMPÍRICO: EMPÍRICO FATO APOIA SOMENTE EXPERIÊNCIAS VIVIDAS, OBSERVAÇÃO COISAS, TEORIAS MÉTODOS CIENTÍFICOS. EMPÍRICO CONHECIMENTO ADQUIRIDO DURANTE TODA VIDA, DIA-A-DIA, COMPROVAÇÃO CIENTÍFICA NENHUMA. DOGMA: DOGMA TERMO ORIGEM GREGA SIGNIFICA LITERALMENTE “O PENSA VERDADE”. ECÓTONO: ECÓTONO REGIÃO RESULTANTE CONTATO DOIS BIOMAS FRONTEIRIÇOS. ÁREAS TRANSIÇÃO AMBIENTAL, ONDE ENTRAM CONTATO DIFERENTES COMUNIDADES ECOLÓGICAS. RESUMO: ECOLOGIA CIÊNCIA PROPÕE AJUDAR BUSCA SOLUÇÕES PROBLEMAS ESTABELECIMENTO PRIORIDADES CONSERVAÇÃO. PORÉM, ALGUMAS MEDIDAS PLAUSÍVEIS ANALISAMOS ATENÇÃO. FATO FRAGMENTOS MENORES SEREM CONSIDERADOS MENOS PRIORITÁRIOS CONSERVAÇÃO, FRAGMENTOS MAIORES TAMANHO, LEVA REFLETIR ALGUMAS TEORIAS SER ANALISADAS CAUTELA.",JC
"CIÊNCIA VEM CADA DIA BUSCANDO ENTENDER RELAÇÕES ESTABELECIDAS SERES MEIO AMBIENTE, AFIN PROPORCIONAR HABITAT FAVORÁVEL DIVERSAS FORMA VIDA. SENDO NECESSÁRIO PRODUÇÃO CONHECIMENTO TEÓRICO COLOCADO PRÁTICA AFIN PODER ANALISAR CADA ESPÉCIE RESPECTIVAS CARACTERÍSTICAS, PODENDO ASSIM CONHECER PROCESSOS MIGRAÇÃO, EXTINÇÃO INTRODUÇÃO ESPÉCIES HABITAT, ASSIM PODER REALIZAR PROCEDIMENTOS PREVENTIVOS MANTER ESTABILIDADE, PRINCIPALMENTE AMBIENTES TIDO FRÁGEIS, BEM MANTER CONECTÂNCIA HABITATS APESAR DIMENSÕES FRACTAIS. IMPORTÂNCIA TER CONTROLE ESPÉCIES ENDÊMICAS EXÓTICAS OCORRA DESEQUILÍBRIO ECOSSISTEMA, SIM BUSQUE HARMONIA TODOS SERES DAQUELE AMBIENTE. CIÊNCIA, BUSCA SOLUÇÕES VISEM ESTABELECER PRIORIDADES CONSERVAÇÃO; FAZ-SE NECESSÁRIO CONHECIMENTO TEÓRICO PRÁTICA EFICAZ, GARANTINDO MELHORAMENTO CONSERVAÇÃO BIOLÓGICA. 2) AFIN EXPLICAR VARIAÇÃO RIQUEZA ESPÉCIES DURANTE TEMPO ECOLÓGICO. PROPÕE VARIAÇÃO RIQUEZA PODE SER CONSTANTE, AINDA MUDANÇAS TAXONÔMICAS. TEMPO ECOLÓGICO, CATÁSTROFE PERTURBAÇÕES IMPEDEM DIFICULTAM EQUILÍBRIO ESPÉCIES; IMIGRAÇÃO HOMOGÊNEOS DENTRO ARQUIPÉLAGOS. TODAS ESPÉCIES INDEPENDENTES EQUIVALENTS.. DIFICULDADE RELAÇÃO MUDANÇAS QUANTIDADE VARIEDADE EXISTENTE TÁXONS. 3) OBSTÁCULOS IMPLANTAÇÃO ESTUDOS MONITORAMENTO; PROBLEMAS DEFINIÇÃO NÚMEROS VARIÁVEIS SEREM EXAMINADAS DETERMINADAS. 4) DIVERSIDADE ESPÉCIES; CONECTÂNCIA; FORÇA INTERAÇÕES. 5) FAVORECE ELABORAÇÃO HIPÓTESES TODAVIA NAO VALOR DETERMINADO VISTO MUDANÇAS, PRINCIPALMENTE QUANTIDADE, VARIA RAPIDAMENTE, AINDA PODE FORNECER INFORMAÇÕES GRANDE IMPORTÂNCIA. 6) A: EXISTE POSTURA ÉTICA RELIGIOSA AFIN GARANTIR SOBREVIVÊNCIA DESSAS ESPÉCIES, TENDO VISTA TÊM PAPEL IMPORTANTE ECOSSISTEMA; RESTRIÇÃO DETERMINADA ÁREA SIGNIFICA FRAGILIDADE, RARAS ENDÊMICAS PRECISAM TER SEMPRE CUIDADOS AFIN MANTÊ-LAS BEM. B: PODEM CONSUMIR ESPÉCIES NATIVAS, INFECTÁ-LAS EXCLUÍ-LAS COMPETITIVAMENTE, ALTERANDO FUNCIONAMENTO ECOSSISTEMA. PODEM CONVIVER DESDE CONHECIMENTO INTERFERÊNCIA. 7) PROPÍCIO INTERFERENCIAS OUTROS AMBIENTES, VISTO CUIDAR PARTE AMBIENTE DEIXAR OUTRA PARTE DEVIDO CUIDADO NAO TENDO MUITAS VANTAGENS, DEIXA ARREDORES DEPENDENTES CONDIÇÕES MENOS FAVORECIDAS.",SDFI
"PODE-SE DIZER QUE, CONSERVAR DADO HABITAT DADA ESPÉCIE NORMALMENTE IMPLICA GASTOS RECURSOS. ENTANTO, ECOLOGIA PROPÕE AJUDAR BUSCA SOLUÇÕES PROBLEMAS AMBIENTAIS, ACREDITA-SE NECESSIDADE CRESCIMENTO TEÓRICO ECOLOGIA AUMENTAR PODER PREDITIVO CAPACIDADE RESOLVER PROBLEMAS PRÁTICOS, SEJA, CRÊ ECOLOGIA DEVA IR TEORIA EXPLICAÇÃO CASO. NISTO RESIDE GRANDE PAPEL BRASIL PODE DESEMPENHAR TERMOS AVANÇO CIENTÍFICO ECOLOGIA CONSERVAÇÃO. FRONTEIRAS GUARDAM GRANDE PARTE RIQUEZA BIOLÓGICA PLANETA, CABE DOMÍNIO SOBRE CIÊNCIAS.",BMM
"RESUMO ARTIGO - PRIORIDADES CONSERVAÇÃO: LINHA TÊNUE SEPARA TEORIAS DOGMAS ESSENCIAL ESTABELECER CRITÉRIOS PRIORIZAÇÃO AÇÕES CONSERVAÇÃO. ENTÃO ECOLOGIA SIDO MAIOR PARTE CIÊNCIA APLICADA BASES TEÓRICAS APESAR IMPORTANTES AINDA INSUFICIENTES PERTO DEMANDA COMPLEXIDADE NATUREZA EXIGE. TEORIA BIOGEOGRAFIA ILHAS DESTAS BASES. PROPÕE VARIAÇÃO RIQUEZA ESPÉCIES PODE SER CONSTANTE COMPOSIÇÃO TAXONÔMICA MUDE. EQUILÍBRIO DINÂMICO, PORTANTO. ALGUMAS IMPLICAÇÕES CONSERVAÇÃO RESERVAS MAIORES PREFERÍVEIS DEVIDO EFEITOS BORDA, AGRUPAMENTOS PREFERÍVEIS, MAIOR PROXIMIDADE FRAGMENTOS PREFERÍVEL FRAGMENTOS HABITAT DEVEM SER CONECTADOS. VARIAÇÕES CONSISTEM TEORIAS NEUTRAS ECOLOGIA. FALHAS TEORIA SIDO AMPLAMENTE EMPREGADA TRATADA QUASE DOGMA ALGUNS PESQUISADORES. ENTANTO, ESTUDO DEMONSTROU MAIOR RIQUEZA ESPÉCIES MENORES FRAGMENTOS (RODRIGUES, 1998). OUTRA QUESTÃO TEÓRICA IMPORTANTE ESTIMATIVA ESTABILIDADE. PODE SER ESTIMADA RESILIÊNCIA (VELOCIDADE RETORNO), COMPLEXIDADE DIMENSÃO FRACTAL. EXISTE IDEIA DIFUNDIDA SISTEMAS ALTA DIVERSIDADE FRÁGEIS; ENTANTO, ECOSSISTEMAS MENOS DIVERSOS RESTINGAS OUTROS ECÓTONOS PÕE MÁXIMA CHEQUE DEVIDO DOGMATIZAÇÃO MESMA EXCEÇÕES PROBLEMATIZADAS. ACREDITA-SE ATUALMENTE ECOLOGIA HOTSPOTS ÁREAS PRIORITÁRIAS PRA CONSERVAÇÃO. ALÉM ESTUDOS CIENTÍFICOS, POSIÇÃO MARCADA PERSPECTIVA “ARCA NÓE”, DEVE-SE SALVAR TODAS ESPÉCIES. RESTRIÇÃO GEOGRÁFICA NECESSARIAMENTE SINÔNIMO FRAGILIDADE ESPÉCIE. FIM, ESPÉCIES EXÓTICAS NORMALMENTE TIDAS VILÕES AMBIENTAIS. AINDA MUITAS VEZES FATO CAUSEM TRANSTORNOS, VEZ SER EXÓTICA SINÔNIMO SER INVASORA. FAZ NECESSÁRIO ECOLOGIA DESENVOLVA FACE TEÓRICA TOMADAS DECISÕES CONSERVAÇÃO ACERTADAS.",GNEM
"TERMOS: ALOCAR: DISPOR PÔR (ALGUMA COISA ALGUÉM) LOCAL ESPECÍFICO LISTAGEM SEQUÊNCIA LUGARES: ALOCAR ALUNOS. INSPECIONAR: EXAMINAR CONTROLAR: INSPECIONAR COLÉGIO. ALGORITMOS: ALGORITMO SEQUÊNCIA FINITA INSTRUÇÕES BEM DEFINIDAS AMBÍGUAS, CADA QUAIS DEVENDO SER EXECUTADAS MECÂNICA ELETRONICAMENTE INTERVALO TEMPO FINITO QUANTIDADE ESFORÇO FINITA. ENCOSTA: DECLIVE MONTANHA; PARTE MONTANHA VAI DIMINUINDO GRADUALMENTE. HOTSPOTS: INTERSEÇÃO ELEVADA CONCENTRAÇÃO ESPÉCIES ENCONTRADAS NENHUMA OUTRA PARTE NÍVEIS EXTRAORDINARIAMENTE ELEVADOS DESTRUIÇÃO HABITATS. RESUMO: ACORDO NORMAN MYERS, MAIORIA ESPÉCIES PLANTAS POSSUEM DISTRIBUIÇÃO DESIGUAL MUNDO. LEVANDO-O PENSAR QUE, ALGUMAS ÁREAS BIOLOGICAMENTE DIVERSA OUTRAS, TALVEZ MELHOR PROTEGER ÁREAS ABUNDANTES POBRES ESPÉCIES. SENDO ASSIM, BUSCOU ESTUDOS MANEIRA DECIDIR QUAIS LUGARES PLANETA IMPORTANTES PROTEGER BIODIVERSIDADE. NOTOU QUE, INFELIZMENTE, ÁREAS RICAS ESPÉCIES SOFREM DESTRUIÇÃO HABITATS, REGIÕES DENOMINOU HOTSPOTS. COMEÇARAM PESQUISAS SABER QUAIS ÁREAS IMPORTANTES SEREM CONSERVADAS, SIDO TRABALHO DIFÍCIL, VISTO HOTSPOTS GRANDE SEREM PROTEGIDOS TOTALMENTE.",JC
"ESTUDOS AMBIENTAIS, ENTENDE-SE HOTSPOT TODA ÁREA NATURAL CUJA PRESERVAÇÃO PRIORIDADE NÍVEIS MUNDIAIS RAZÃO ELEVADAS AMEAÇAS EXTINÇÃO. DEFINIÇÃO, CONSIDERADA HOTSPOT TODA ÁREA MENOS 1500 ESPÉCIES ENDÊMICAS (QUE EXISTEM NAQUELA REGIÃO) PERDEU ¾ VEGETAÇÃO ORIGINAL. BRASIL, DOIS DOMÍNIOS NATURAIS CLASSIFICADOS TAL: CERRADO MATA ATLÂNTICA. EXPRESSÃO HOTSPOT UTILIZADA VÁRIAS ÁREAS CONHECIMENTO, TECNOLOGIA INFORMAÇÃO GENÉTICA, QUER DIZER, TRADUÇÃO LIVRE, ?PONTOS QUENTES?. CIÊNCIAS AMBIENTAIS, CONCEITO DESENVOLVIDO ECÓLOGO INGLÊS NORMAN MYERS, 1988, OBJETIVO DELIMITAR ÁREAS PRESERVAÇÃO URGENTE PLANETA TERRA. ESTUDO, MYERS INICIALMENTE CLASSIFICOU DEZ DOMÍNIOS NATURAIS HOTSPOTS, INCLUINDO NOTADAMENTE FLORESTAS TROPICAIS. BRASIL, NESSE MOMENTO, INCLUIU-SE APENAS MATA ATLÂNTICA. DENTRE OUTRAS DESSAS ÁREAS, DESTACAM-SE ESPAÇO NATURAL MADAGASCAR ANDES, ÚLTIMO AMÉRICA SUL.",SDJME
