Text,Author
"mudas de algumas espécies foram submetidas a experimentos como serem transplantadas em sacos plásticos pretos com capacidade de 4,5l, contendo substrato comercial e outras plantas arbóreas foram submetidas a tratamento com total contato a luz solar em local aberto transplantadas em solo adubado. 

que ambas as plantas onde foram realizados os experimentos tivessem o mesmo resultado, exceto pelas arbóreas que tiveram maiores respostas quanto a crescimento.

que as foram cultivadas em solo adubada e com maior incidência solar, mostraram maior sucesso de crescimento e estabilidade ecológica do que as que foram cultivadas no saco preto e sem muito contato com luz do sol.

devido a algumas espécies serem capazes de adaptar-se a determinado ambiente, tanto maior e menor grau ( ° ), a plasticidade fenotípica acaba por ser fundamental para a manutenção e sobrevivência de algumas espécies. elas entendem que devem se adaptar para manter seu processo de crescimento. 

são vegetais que não necessariamente precisam de plasticidade fenotípica, pois em sua composição interna ou fatores que favoreçam seu crescimento, exista algo que não permita a alteração fisiológica e morfológica, em determinado ambiente e clima.

dos meios evolutivos em certas espécies, quando a plasticidade fenotípica favorece e pode desfavorecer de certo modo, como por exemplo, as folhas de boldo mirim ( plectranthus neochilus schltr. ) quando cultivadas em sombra tem um tamanho 2 vezes maior do que quando cultivadas em sol intenso, devido a necessidade de encontrar a luz solar.",annbialea
"respostas ecologia evolutiva

retirar uma amostra  planta  mata e replanta-la em um recipiente com um solo carente em água. ou em um outro ambiente, desde que fosse um com poucos recurso hídricos.

se as plantas forem  mesma espécie, possivelmente suas raízes tenderiam a crescer em busca de água e nutrientes.

em caso de não haver plasticidade fenotípica; poderia ser por ter ocorrido um efeito gargalo de garrafa, no qual os alelos que possibilitaram essa plasticidade foram perdidos por uma seleção natural; mas também poderia ter ocorrido outro processo, o efeito fundador, no qual após a seleção sobrou poucos indivíduos que já não possuiriam os alelos para usar essa estratégia. 

no caso de todas possuírem essa estratégia, poderia ser pelo fato  de que o ambiente passava por períodos de seca e somente aqueles que tinha essa informação genética conseguiam sobreviver e se reproduzir, propagando os alelos para as próximas gerações ( seleção natural ).

as plantas que não possuíssem uma plasticidade, poderiam ter sobrevivido devido a outras características que já a tornava capaz de  suportar as pressões do meio. exemplo os cactos, eles não precisam crescer suas raízes, já que possuem uma estrutura que armazena água e outra que evita a perda de água para o meio.

favoreceria a presença se em uma determinada situação de estresse ( pressão ambiental ) fosse repetida e os indivíduos que possuíssem uma determinada informação de plasticidade, que os favoreça, conseguiriam suportar e reproduzir por causa dessa plasticidade, aqueles que não a possuíssem não conseguiriam suportar e seriam eliminados do ambiente.
exemplo uma planta passa por períodos  de seca frequente, mas como possui alelos que permitem um alongamento das raízes, estas plantas conseguem sobreviver, as que não possuíssem seriam eliminadas do ambiente.

favoreceria a ausência  quando os indivíduos possuem outra características fenotípicas que a possibilita suporta as pressões do ambiente, nesse caso a plasticidade se irrelevante. repetindo o exemplo do cacto, para a planta vai gastar energia fazendo as raízes crescerem se ela possui outras estruturas, já desenvolvidas, que servem para armazenar e evitar a perda de água e nutrientes, os quais duram tempo o bastante. seria apenas um desperdício de energia!",pdje
"1 - competição entre membros de espécies diferentes que usam os mesmos recursos limitados. os recursos costumam ser limitados em um habitat e muitas espécies podem competir para consegui-los. o efeito geral  competição interespecífica é negativo para as duas espécies participantes, ou seja, cada espécie estaria melhor se a outra espécie não estivesse presente. com tudo referente à complementaridade de nicho o princípio exclusão competitiva diz que duas espécies competidoras podem concorrer em determinado local, mas para isso elas precisam possuir nichos realizados diferentes. 

2 - em referente ao primeiro estudo de caso ( asterionella formosa/ synedra ulna ) a ocorrência competitiva devido ao mesmo recurso ( silicato ) apresenta princípio  exclusão competitivas onde ambas ocupando o mesmo nicho em que a capacidade suporte influencia na exclusão de uma espécie. no segundo caso a relação de coexistência  diversidade de espécie de peixe-palhaço esta relacionada com a quantidade de anêmonas onde o seu principal recursos esta no abrigo possibilitando a produtividade e perpetuação  espécie de peixe, além disso, devido a população desse peixe esta ligado ao recurso limitante por anêmona criando uma diversidade que utiliza diferentes nichos devido ao distanciamento de cada anêmona do estudo.

3 - o princípio  exclusão competitiva ou, como também é chamado, lei de gause, é uma proposição que afirma que, em um ambiente estável no qual os indivíduos se distribuem de forma homogênea, duas espécies com nichos ecológicos parecidos não podem coexistir, devido a pressão evolutiva exercida pela competição. de acordo com esse princípio, um dos competidores terminará por sobrepujar ao outro, o que pode acarretar mudanças morfológicas, comportamentais, deslocamento de nicho ecológico ou até mesmo a extinção  espécie em desvantagem. em suma, o que esse conceito quer dizer é que competidores completos não podem coexistir.",fadj
"embora a temática  questão ambiental esteja numa crescente há anos, é inegável que estamos mergulhados numa crise ambiental. por sua vez, é notável que tal possui origem sistêmica, uma vez que  na esfera mundial atual globalizada tudo se interliga, e, não poderia ser diferente no tocante ao meio ambiente.",sdjme
"epistemologia: significa ciência, conhecimento, é o estudo científico que trata dos problemas relacionados com a crença e o conhecimento, sua natureza e limitações. epistemologia estuda a origem, a estrutura, os métodos e a validade do conhecimento, e também é conhecida como teoria do conhecimento e relaciona-se com a metafísica, a lógica e a filosofia  ciência.

subsídio: é um auxílio, uma ajuda, uma aporte, um benefício. subsídio é uma contribuição financeira ou de outra ordem, que se presta a qualquer empresa ou particulares com a finalidade de ajudar ou socorrer.

pessimista: pessimista é o adjetivo que qualifica a pessoa que prefere enxergar o lado negativo das coisas, esperando sempre pelo pior de todas as situações. o pessimista é o oposto do otimista.

empírico: empírico é um fato que se apoia somente em experiências vividas, na observação de coisas, e não em teorias e métodos científicos. empírico é aquele conhecimento adquirido durante toda a vida, no dia-a-dia, que não tem comprovação científica nenhuma.

dogma: dogma é um termo de origem grega que significa literalmente “o que se pensa é verdade”.

ecótono: um ecótono é uma região resultante do contato entre dois ou mais biomas fronteiriços. são áreas de transição ambiental, onde entram em contato diferentes comunidades ecológicas.

resumo: a ecologia é a ciência que se propõe a ajudar na busca de soluções para problemas como o de estabelecimento de prioridades para conservação. porém, algumas medidas não são plausíveis quando as analisamos com atenção. o fato de fragmentos menores serem considerados menos prioritários para conservação, do que fragmentos maiores em tamanho, nos leva a refletir que algumas teorias tenham que ser analisadas com mais cautela.",jc
"a ciência vem a cada dia buscando entender as relações estabelecidas entre os seres e o meio ambiente, afin de proporcionar um habitat favorável as mais diversas forma de vida. sendo necessário a produção de conhecimento teórico colocado na prática afin de poder analisar cada espécie com suas respectivas características, podendo assim conhecer processos como migração, extinção ou introdução de espécies no habitat, e assim poder realizar procedimentos preventivos para manter a estabilidade, principalmente nos ambientes tido como frágeis, bem como manter a conectância entre esses habitats apesar de suas dimensões fractais. por isso a importância em ter o controle de espécies endêmicas e exóticas para que não ocorra desequilíbrio no ecossistema, mas sim que busque uma harmonia entre todos os seres daquele ambiente.
como ciência, ela busca soluções que visem estabelecer prioridades para a conservação; para isso faz-se necessário o conhecimento teórico para que sua prática seja eficaz, garantindo que haja melhoramento  conservação biológica.
     2 ) afin de explicar a variação em riqueza de espécies durante o tempo ecológico. propõe que essa variação em riqueza pode ser constante, ainda que haja mudanças taxonômicas.
no tempo ecológico,  catástrofe e perturbações impedem ou dificultam o equilíbrio das espécies;
de imigração são homogêneos dentro e entre arquipélagos.
todas as espécies são independentes e equivalents..
dificuldade em relação a mudanças na quantidade e variedade existente entre os táxons.

3 ) obstáculos na implantação de estudos e monitoramento; problemas em definição de números e variáveis a serem examinadas e determinadas.

4 ) diversidade de espécies; conectância; força das interações.
 
5 ) ela favorece a elaboração de hipóteses todavia nao  um valor determinado visto que as mudanças, principalmente em quantidade, varia rapidamente, mas ainda pode fornecer informações de grande importância.

6 ) a: que existe postura ética e  religiosa afin de garantir a sobrevivência dessas espécies, tendo em vista que elas têm um papel importante no ecossistema; e que sua restrição em determinada área não significa sua fragilidade, mas que raras e endêmicas precisam ter sempre cuidados afin de mantê-las bem.
b: estas podem consumir espécies nativas, infectá-las ou excluí-las competitivamente, alterando o funcionamento do ecossistema. mas que estas também podem conviver desde que se tenha o conhecimento de sua interferência.

7 )  propício a interferencias em outros ambientes, visto que cuidar de uma parte do ambiente e deixar outra parte sem o devido cuidado nao se esta tendo muitas vantagens, se deixa os arredores e os dependentes em condições menos favorecidas.",sdfi
"pode-se dizer que, conservar um dado habitat ou uma dada espécie normalmente implica gastos de recursos. no entanto, a ecologia se propõe a ajudar na busca de soluções para problemas ambientais, e acredita-se na necessidade de crescimento teórico em ecologia para aumentar seu poder preditivo e sua capacidade de resolver problemas práticos, ou seja, crê que a ecologia deva ir  teoria para a explicação do caso. 
         nisto reside o grande papel que o brasil pode desempenhar em termos do avanço científico em ecologia e conservação. já que nossas fronteiras guardam grande parte  riqueza biológica do planeta, cabe a nós temos o domínio sobre essas ciências.",bmm
"resumo do artigo - prioridades para a conservação: a linha tênue que separa teorias e dogmas
 
            é essencial estabelecer critérios para priorização de ações de conservação. até então a ecologia tem sido na sua maior parte como uma ciência aplicada e suas bases teóricas apesar de importantes ainda são insuficientes perto  demanda que a complexidade  natureza exige.
            a teoria de biogeografia de ilhas é uma destas bases. ela propõe que a variação  riqueza de espécies pode ser constante mesmo que a composição taxonômica mude. o equilíbrio seria dinâmico, portanto.  algumas de suas implicações para conservação são reservas maiores são preferíveis devido aos efeitos de borda, agrupamentos são preferíveis, maior proximidade entre fragmentos é preferível e fragmentos de habitat devem ser conectados. ela e suas variações consistem nas teorias neutras  ecologia. mesmo com falhas essa teoria tem sido amplamente empregada tratada quase como dogma por alguns pesquisadores. no entanto, um estudo demonstrou que a maior riqueza de espécies estava nos menores fragmentos ( rodrigues, 1998 ).
            outra questão teórica importante é a  estimativa de estabilidade. esta pode ser estimada por resiliência ( velocidade de retorno ), complexidade ou dimensão fractal. existe uma ideia difundida que sistemas de alta diversidade são mais frágeis; no entanto, ecossistemas menos diversos como restingas e outros ecótonos põe essa máxima em cheque e devido a dogmatização  mesma exceções não são problematizadas.
            acredita-se atualmente na ecologia que hotspots são áreas prioritárias pra conservação. além de estudos científicos, essa posição é marcada por uma perspectiva de “arca de nóe”, na qual deve-se salvar todas as espécies. restrição geográfica não é necessariamente  sinônimo de fragilidade  espécie. por fim, espécies exóticas são normalmente tidas como vilões ambientais. ainda que muitas vezes elas de fato causem transtornos, mais uma vez ser exótica não é sinônimo de ser invasora.
            se faz necessário que a ecologia desenvolva mais sua face teórica para que sejam tomadas decisões de conservação mais acertadas.",gnem
"termos: alocar: dispor ou pôr ( alguma coisa ou alguém ) num local específico de uma listagem ou sequência de lugares: alocar alunos.
inspecionar: examinar para controlar: inspecionar um colégio.
algoritmos: algoritmo é uma sequência finita de instruções bem definidas e não ambíguas, cada uma das quais devendo ser executadas mecânica ou eletronicamente em um intervalo de tempo finito e com uma quantidade de esforço finita.
encosta: declive de montanha; parte  montanha que vai diminuindo gradualmente.
hotspots: são a interseção de uma elevada concentração de espécies não encontradas em nenhuma outra parte e de níveis extraordinariamente elevados de destruição de habitats.  

resumo: de acordo com norman myers, a maioria das espécies de plantas possuem uma distribuição desigual no mundo. levando-o a pensar que, se algumas áreas são mais biologicamente diversa do que outras, talvez seja melhor proteger as áreas mais abundantes do que as mais pobres em espécies. sendo assim, ele buscou em seus estudos a maneira de decidir quais lugares do planeta seriam os mais importantes para proteger a biodiversidade. ele notou também que, infelizmente, as áreas mais ricas em espécies são as que mais sofrem com a destruição de habitats, essas regiões ele denominou de hotspots. começaram as pesquisas para saber quais áreas seriam as mais importantes para serem conservadas, o que tem sido um trabalho difícil, visto que os hotspots são muito grande para serem protegidos totalmente.",jc
"nos estudos ambientais, entende-se por hotspot toda área natural cuja preservação é prioridade em níveis mundiais em razão de suas elevadas ameaças de extinção. por definição, é considerada como hotspot toda área com pelo menos 1500 espécies endêmicas ( que só existem naquela região ) e que já perdeu mais de ¾ de sua vegetação original. no brasil, dois domínios naturais são classificados como tal: o cerrado e a mata atlântica.

a expressão hotspot é utilizada em várias áreas do conhecimento,  tecnologia  informação à genética, e quer dizer, em tradução livre, ?pontos quentes?. nas ciências ambientais, o conceito foi desenvolvido pelo ecólogo inglês norman myers, em 1988, com o objetivo de delimitar as áreas de preservação urgente no planeta terra.

em seu estudo, myers inicialmente classificou dez domínios naturais como hotspots, incluindo notadamente as florestas tropicais. no brasil, nesse momento, incluiu-se apenas a mata atlântica. dentre outras dessas áreas, destacam-se o espaço natural de madagascar e os andes, esse último na américa do sul.",sdjme
