Text,Author
"MUDAS DE ALGUMAS ESPÉCIES FORAM SUBMETIDAS A EXPERIMENTOS COMO SEREM TRANSPLANTADAS EM SACOS PLÁSTICOS PRETOS COM CAPACIDADE DE 4,5L, CONTENDO SUBSTRATO COMERCIAL E OUTRAS PLANTAS ARBÓREAS FORAM SUBMETIDAS A TRATAMENTO COM TOTAL CONTATO A LUZ SOLAR EM LOCAL ABERTO TRANSPLANTADAS EM SOLO ADUBADO.   QUE AMBAS AS PLANTAS ONDE FORAM REALIZADOS OS EXPERIMENTOS TIVESSEM O MESMO RESULTADO, EXCETO PELAS ARBÓREAS QUE TIVERAM MAIORES RESPOSTAS QUANTO A CRESCIMENTO.  QUE AS FORAM CULTIVADAS EM SOLO ADUBADA E COM MAIOR INCIDÊNCIA SOLAR, MOSTRARAM MAIOR SUCESSO DE CRESCIMENTO E ESTABILIDADE ECOLÓGICA DO QUE AS QUE FORAM CULTIVADAS NO SACO PRETO E SEM MUITO CONTATO COM LUZ DO SOL.  DEVIDO A ALGUMAS ESPÉCIES SEREM CAPAZES DE ADAPTAR-SE A DETERMINADO AMBIENTE, TANTO MAIOR E MENOR GRAU (°), A PLASTICIDADE FENOTÍPICA ACABA POR SER FUNDAMENTAL PARA A MANUTENÇÃO E SOBREVIVÊNCIA DE ALGUMAS ESPÉCIES. ELAS ENTENDEM QUE DEVEM SE ADAPTAR PARA MANTER SEU PROCESSO DE CRESCIMENTO.   SÃO VEGETAIS QUE NÃO NECESSARIAMENTE PRECISAM DE PLASTICIDADE FENOTÍPICA, POIS EM SUA COMPOSIÇÃO INTERNA OU FATORES QUE FAVOREÇAM SEU CRESCIMENTO, EXISTA ALGO QUE NÃO PERMITA A ALTERAÇÃO FISIOLÓGICA E MORFOLÓGICA, EM DETERMINADO AMBIENTE E CLIMA.  DOS MEIOS EVOLUTIVOS EM CERTAS ESPÉCIES, QUANDO A PLASTICIDADE FENOTÍPICA FAVORECE E PODE DESFAVORECER DE CERTO MODO, COMO POR EXEMPLO, AS FOLHAS DE BOLDO MIRIM (PLECTRANTHUS NEOCHILUS SCHLTR.) QUANDO CULTIVADAS EM SOMBRA TEM UM TAMANHO 2 VEZES MAIOR DO QUE QUANDO CULTIVADAS EM SOL INTENSO, DEVIDO A NECESSIDADE DE ENCONTRAR A LUZ SOLAR.",ANNBIALEA
"RESPOSTAS ECOLOGIA EVOLUTIVA  RETIRAR UMA AMOSTRA DA PLANTA DA MATA E REPLANTA-LA EM UM RECIPIENTE COM UM SOLO CARENTE EM ÁGUA. OU EM UM OUTRO AMBIENTE, DESDE QUE FOSSE UM COM POUCOS RECURSO HÍDRICOS.  SE AS PLANTAS FOREM DA MESMA ESPÉCIE, POSSIVELMENTE SUAS RAÍZES TENDERIAM A CRESCER EM BUSCA DE ÁGUA E NUTRIENTES.  EM CASO DE NÃO HAVER PLASTICIDADE FENOTÍPICA; PODERIA SER POR TER OCORRIDO UM EFEITO GARGALO DE GARRAFA, NO QUAL OS ALELOS QUE POSSIBILITARAM ESSA PLASTICIDADE FORAM PERDIDOS POR UMA SELEÇÃO NATURAL; MAS TAMBÉM PODERIA TER OCORRIDO OUTRO PROCESSO, O EFEITO FUNDADOR, NO QUAL APÓS A SELEÇÃO SOBROU POUCOS INDIVÍDUOS QUE JÁ NÃO POSSUIRIAM OS ALELOS PARA USAR ESSA ESTRATÉGIA.   NO CASO DE TODAS POSSUÍREM ESSA ESTRATÉGIA, PODERIA SER PELO FATO  DE QUE O AMBIENTE PASSAVA POR PERÍODOS DE SECA E SOMENTE AQUELES QUE TINHA ESSA INFORMAÇÃO GENÉTICA CONSEGUIAM SOBREVIVER E SE REPRODUZIR, PROPAGANDO OS ALELOS PARA AS PRÓXIMAS GERAÇÕES (SELEÇÃO NATURAL).  AS PLANTAS QUE NÃO POSSUÍSSEM UMA PLASTICIDADE, PODERIAM TER SOBREVIVIDO DEVIDO A OUTRAS CARACTERÍSTICAS QUE JÁ A TORNAVA CAPAZ DE  SUPORTAR AS PRESSÕES DO MEIO. EXEMPLO OS CACTOS, ELES NÃO PRECISAM CRESCER SUAS RAÍZES, JÁ QUE POSSUEM UMA ESTRUTURA QUE ARMAZENA ÁGUA E OUTRA QUE EVITA A PERDA DE ÁGUA PARA O MEIO.  FAVORECERIA A PRESENÇA SE EM UMA DETERMINADA SITUAÇÃO DE ESTRESSE (PRESSÃO AMBIENTAL) FOSSE REPETIDA E OS INDIVÍDUOS QUE POSSUÍSSEM UMA DETERMINADA INFORMAÇÃO DE PLASTICIDADE, QUE OS FAVOREÇA, CONSEGUIRIAM SUPORTAR E REPRODUZIR POR CAUSA DESSA PLASTICIDADE, AQUELES QUE NÃO A POSSUÍSSEM NÃO CONSEGUIRIAM SUPORTAR E SERIAM ELIMINADOS DO AMBIENTE. EXEMPLO UMA PLANTA PASSA POR PERÍODOS  DE SECA FREQUENTE, MAS COMO POSSUI ALELOS QUE PERMITEM UM ALONGAMENTO DAS RAÍZES, ESTAS PLANTAS CONSEGUEM SOBREVIVER, AS QUE NÃO POSSUÍSSEM SERIAM ELIMINADAS DO AMBIENTE.  FAVORECERIA A AUSÊNCIA  QUANDO OS INDIVÍDUOS POSSUEM OUTRA CARACTERÍSTICAS FENOTÍPICAS QUE A POSSIBILITA SUPORTA AS PRESSÕES DO AMBIENTE, NESSE CASO A PLASTICIDADE SE IRRELEVANTE. REPETINDO O EXEMPLO DO CACTO, PARA A PLANTA VAI GASTAR ENERGIA FAZENDO AS RAÍZES CRESCEREM SE ELA POSSUI OUTRAS ESTRUTURAS, JÁ DESENVOLVIDAS, QUE SERVEM PARA ARMAZENAR E EVITAR A PERDA DE ÁGUA E NUTRIENTES, OS QUAIS DURAM TEMPO O BASTANTE. SERIA APENAS UM DESPERDÍCIO DE ENERGIA!",DJE
"EPISTEMOLOGIA: SIGNIFICA CIÊNCIA, CONHECIMENTO, É O ESTUDO CIENTÍFICO QUE TRATA DOS PROBLEMAS RELACIONADOS COM A CRENÇA E O CONHECIMENTO, SUA NATUREZA E LIMITAÇÕES. EPISTEMOLOGIA ESTUDA A ORIGEM, A ESTRUTURA, OS MÉTODOS E A VALIDADE DO CONHECIMENTO, E TAMBÉM É CONHECIDA COMO TEORIA DO CONHECIMENTO E RELACIONA-SE COM A METAFÍSICA, A LÓGICA E A FILOSOFIA DA CIÊNCIA.  SUBSÍDIO: É UM AUXÍLIO, UMA AJUDA, UMA APORTE, UM BENEFÍCIO. SUBSÍDIO É UMA CONTRIBUIÇÃO FINANCEIRA OU DE OUTRA ORDEM, QUE SE PRESTA A QUALQUER EMPRESA OU PARTICULARES COM A FINALIDADE DE AJUDAR OU SOCORRER.  PESSIMISTA: PESSIMISTA É O ADJETIVO QUE QUALIFICA A PESSOA QUE PREFERE ENXERGAR O LADO NEGATIVO DAS COISAS, ESPERANDO SEMPRE PELO PIOR DE TODAS AS SITUAÇÕES. O PESSIMISTA É O OPOSTO DO OTIMISTA.  EMPÍRICO: EMPÍRICO É UM FATO QUE SE APOIA SOMENTE EM EXPERIÊNCIAS VIVIDAS, NA OBSERVAÇÃO DE COISAS, E NÃO EM TEORIAS E MÉTODOS CIENTÍFICOS. EMPÍRICO É AQUELE CONHECIMENTO ADQUIRIDO DURANTE TODA A VIDA, NO DIA-A-DIA, QUE NÃO TEM COMPROVAÇÃO CIENTÍFICA NENHUMA.  DOGMA: DOGMA É UM TERMO DE ORIGEM GREGA QUE SIGNIFICA LITERALMENTE “O QUE SE PENSA É VERDADE”.  ECÓTONO: UM ECÓTONO É UMA REGIÃO RESULTANTE DO CONTATO ENTRE DOIS OU MAIS BIOMAS FRONTEIRIÇOS. SÃO ÁREAS DE TRANSIÇÃO AMBIENTAL, ONDE ENTRAM EM CONTATO DIFERENTES COMUNIDADES ECOLÓGICAS.  RESUMO: A ECOLOGIA É A CIÊNCIA QUE SE PROPÕE A AJUDAR NA BUSCA DE SOLUÇÕES PARA PROBLEMAS COMO O DE ESTABELECIMENTO DE PRIORIDADES PARA CONSERVAÇÃO. PORÉM, ALGUMAS MEDIDAS NÃO SÃO PLAUSÍVEIS QUANDO AS ANALISAMOS COM ATENÇÃO. O FATO DE FRAGMENTOS MENORES SEREM CONSIDERADOS MENOS PRIORITÁRIOS PARA CONSERVAÇÃO, DO QUE FRAGMENTOS MAIORES EM TAMANHO, NOS LEVA A REFLETIR QUE ALGUMAS TEORIAS TENHAM QUE SER ANALISADAS COM MAIS CAUTELA.",JC
"A CIÊNCIA VEM A CADA DIA BUSCANDO ENTENDER AS RELAÇÕES ESTABELECIDAS ENTRE OS SERES E O MEIO AMBIENTE, AFIN DE PROPORCIONAR UM HABITAT FAVORÁVEL AS MAIS DIVERSAS FORMA DE VIDA. SENDO NECESSÁRIO A PRODUÇÃO DE CONHECIMENTO TEÓRICO COLOCADO NA PRÁTICA AFIN DE PODER ANALISAR CADA ESPÉCIE COM SUAS RESPECTIVAS CARACTERÍSTICAS, PODENDO ASSIM CONHECER PROCESSOS COMO MIGRAÇÃO, EXTINÇÃO OU INTRODUÇÃO DE ESPÉCIES NO HABITAT, E ASSIM PODER REALIZAR PROCEDIMENTOS PREVENTIVOS PARA MANTER A ESTABILIDADE, PRINCIPALMENTE NOS AMBIENTES TIDO COMO FRÁGEIS, BEM COMO MANTER A CONECTÂNCIA ENTRE ESSES HABITATS APESAR DE SUAS DIMENSÕES FRACTAIS. POR ISSO A IMPORTÂNCIA EM TER O CONTROLE DE ESPÉCIES ENDÊMICAS E EXÓTICAS PARA QUE NÃO OCORRA DESEQUILÍBRIO NO ECOSSISTEMA, MAS SIM QUE BUSQUE UMA HARMONIA ENTRE TODOS OS SERES DAQUELE AMBIENTE.   COMO CIÊNCIA, ELA BUSCA SOLUÇÕES QUE VISEM ESTABELECER PRIORIDADES PARA A CONSERVAÇÃO; PARA ISSO FAZ-SE NECESSÁRIO O CONHECIMENTO TEÓRICO PARA QUE SUA PRÁTICA SEJA EFICAZ, GARANTINDO QUE HAJA MELHORAMENTO DA CONSERVAÇÃO BIOLÓGICA.        2) AFIN DE EXPLICAR A VARIAÇÃO EM RIQUEZA DE ESPÉCIES DURANTE O TEMPO ECOLÓGICO. PROPÕE QUE ESSA VARIAÇÃO EM RIQUEZA PODE SER CONSTANTE, AINDA QUE HAJA MUDANÇAS TAXONÔMICAS. NO TEMPO ECOLÓGICO,  CATÁSTROFE E PERTURBAÇÕES IMPEDEM OU DIFICULTAM O EQUILÍBRIO DAS ESPÉCIES; DE IMIGRAÇÃO SÃO HOMOGÊNEOS DENTRO E ENTRE ARQUIPÉLAGOS. TODAS AS ESPÉCIES SÃO INDEPENDENTES E EQUIVALENTS.. DIFICULDADE EM RELAÇÃO A MUDANÇAS NA QUANTIDADE E VARIEDADE EXISTENTE ENTRE OS TÁXONS.  3) OBSTÁCULOS NA IMPLANTAÇÃO DE ESTUDOS E MONITORAMENTO; PROBLEMAS EM DEFINIÇÃO DE NÚMEROS E VARIÁVEIS A SEREM EXAMINADAS E DETERMINADAS.  4) DIVERSIDADE DE ESPÉCIES; CONECTÂNCIA; FORÇA DAS INTERAÇÕES.   5) ELA FAVORECE A ELABORAÇÃO DE HIPÓTESES TODAVIA NAO DA UM VALOR DETERMINADO VISTO QUE AS MUDANÇAS, PRINCIPALMENTE EM QUANTIDADE, VARIA RAPIDAMENTE, MAS AINDA PODE FORNECER INFORMAÇÕES DE GRANDE IMPORTÂNCIA.  6) A: QUE EXISTE POSTURA ÉTICA E  RELIGIOSA AFIN DE GARANTIR A SOBREVIVÊNCIA DESSAS ESPÉCIES, TENDO EM VISTA QUE ELAS TÊM UM PAPEL IMPORTANTE NO ECOSSISTEMA; E QUE SUA RESTRIÇÃO EM DETERMINADA ÁREA NÃO SIGNIFICA SUA FRAGILIDADE, MAS QUE RARAS E ENDÊMICAS PRECISAM TER SEMPRE CUIDADOS AFIN DE MANTÊ-LAS BEM. B: ESTAS PODEM CONSUMIR ESPÉCIES NATIVAS, INFECTÁ-LAS OU EXCLUÍ-LAS COMPETITIVAMENTE, ALTERANDO O FUNCIONAMENTO DO ECOSSISTEMA. MAS QUE ESTAS TAMBÉM PODEM CONVIVER DESDE QUE SE TENHA O CONHECIMENTO DE SUA INTERFERÊNCIA.  7)  PROPÍCIO A INTERFERENCIAS EM OUTROS AMBIENTES, VISTO QUE CUIDAR DE UMA PARTE DO AMBIENTE E DEIXAR OUTRA PARTE SEM O DEVIDO CUIDADO NAO SE ESTA TENDO MUITAS VANTAGENS, SE DEIXA OS ARREDORES E OS DEPENDENTES EM CONDIÇÕES MENOS FAVORECIDAS.",SDFI
"PODE-SE DIZER QUE, CONSERVAR UM DADO HABITAT OU UMA DADA ESPÉCIE NORMALMENTE IMPLICA GASTOS DE RECURSOS. NO ENTANTO, A ECOLOGIA SE PROPÕE A AJUDAR NA BUSCA DE SOLUÇÕES PARA PROBLEMAS AMBIENTAIS, E ACREDITA-SE NA NECESSIDADE DE CRESCIMENTO TEÓRICO EM ECOLOGIA PARA AUMENTAR SEU PODER PREDITIVO E SUA CAPACIDADE DE RESOLVER PROBLEMAS PRÁTICOS, OU SEJA, CRÊ QUE A ECOLOGIA DEVA IR DA TEORIA PARA A EXPLICAÇÃO DO CASO.           NISTO RESIDE O GRANDE PAPEL QUE O BRASIL PODE DESEMPENHAR EM TERMOS DO AVANÇO CIENTÍFICO EM ECOLOGIA E CONSERVAÇÃO. JÁ QUE NOSSAS FRONTEIRAS GUARDAM GRANDE PARTE DA RIQUEZA BIOLÓGICA DO PLANETA, CABE A NÓS TEMOS O DOMÍNIO SOBRE ESSAS CIÊNCIAS.",BMM
"RESUMO DO ARTIGO - PRIORIDADES PARA A CONSERVAÇÃO: A LINHA TÊNUE QUE SEPARA TEORIAS E DOGMAS               	É ESSENCIAL ESTABELECER CRITÉRIOS PARA PRIORIZAÇÃO DE AÇÕES DE CONSERVAÇÃO. ATÉ ENTÃO A ECOLOGIA TEM SIDO NA SUA MAIOR PARTE COMO UMA CIÊNCIA APLICADA E SUAS BASES TEÓRICAS APESAR DE IMPORTANTES AINDA SÃO INSUFICIENTES PERTO DA DEMANDA QUE A COMPLEXIDADE DA NATUREZA EXIGE.             	A TEORIA DE BIOGEOGRAFIA DE ILHAS É UMA DESTAS BASES. ELA PROPÕE QUE A VARIAÇÃO DA RIQUEZA DE ESPÉCIES PODE SER CONSTANTE MESMO QUE A COMPOSIÇÃO TAXONÔMICA MUDE. O EQUILÍBRIO SERIA DINÂMICO, PORTANTO.  ALGUMAS DE SUAS IMPLICAÇÕES PARA CONSERVAÇÃO SÃO RESERVAS MAIORES SÃO PREFERÍVEIS DEVIDO AOS EFEITOS DE BORDA, AGRUPAMENTOS SÃO PREFERÍVEIS, MAIOR PROXIMIDADE ENTRE FRAGMENTOS É PREFERÍVEL E FRAGMENTOS DE HABITAT DEVEM SER CONECTADOS. ELA E SUAS VARIAÇÕES CONSISTEM NAS TEORIAS NEUTRAS DA ECOLOGIA. MESMO COM FALHAS ESSA TEORIA TEM SIDO AMPLAMENTE EMPREGADA TRATADA QUASE COMO DOGMA POR ALGUNS PESQUISADORES. NO ENTANTO, UM ESTUDO DEMONSTROU QUE A MAIOR RIQUEZA DE ESPÉCIES ESTAVA NOS MENORES FRAGMENTOS (RODRIGUES, 1998).             	OUTRA QUESTÃO TEÓRICA IMPORTANTE É A DA ESTIMATIVA DE ESTABILIDADE. ESTA PODE SER ESTIMADA POR RESILIÊNCIA (VELOCIDADE DE RETORNO), COMPLEXIDADE OU DIMENSÃO FRACTAL. EXISTE UMA IDEIA DIFUNDIDA QUE SISTEMAS DE ALTA DIVERSIDADE SÃO MAIS FRÁGEIS; NO ENTANTO, ECOSSISTEMAS MENOS DIVERSOS COMO RESTINGAS E OUTROS ECÓTONOS PÕE ESSA MÁXIMA EM CHEQUE E DEVIDO A DOGMATIZAÇÃO DA MESMA EXCEÇÕES NÃO SÃO PROBLEMATIZADAS.             	ACREDITA-SE ATUALMENTE NA ECOLOGIA QUE HOTSPOTS SÃO ÁREAS PRIORITÁRIAS PRA CONSERVAÇÃO. ALÉM DE ESTUDOS CIENTÍFICOS, ESSA POSIÇÃO É MARCADA POR UMA PERSPECTIVA DE “ARCA DE NÓE”, NA QUAL DEVE-SE SALVAR TODAS AS ESPÉCIES. RESTRIÇÃO GEOGRÁFICA NÃO É NECESSARIAMENTE  SINÔNIMO DE FRAGILIDADE DA ESPÉCIE. POR FIM, ESPÉCIES EXÓTICAS SÃO NORMALMENTE TIDAS COMO VILÕES AMBIENTAIS. AINDA QUE MUITAS VEZES ELAS DE FATO CAUSEM TRANSTORNOS, MAIS UMA VEZ SER EXÓTICA NÃO É SINÔNIMO DE SER INVASORA.             	SE FAZ NECESSÁRIO QUE A ECOLOGIA DESENVOLVA MAIS SUA FACE TEÓRICA PARA QUE SEJAM TOMADAS DECISÕES DE CONSERVAÇÃO MAIS ACERTADAS.",GM
"TERMOS: ALOCAR: DISPOR OU PÔR (ALGUMA COISA OU ALGUÉM) NUM LOCAL ESPECÍFICO DE UMA LISTAGEM OU SEQUÊNCIA DE LUGARES: ALOCAR ALUNOS. INSPECIONAR: EXAMINAR PARA CONTROLAR: INSPECIONAR UM COLÉGIO. ALGORITMOS: ALGORITMO É UMA SEQUÊNCIA FINITA DE INSTRUÇÕES BEM DEFINIDAS E NÃO AMBÍGUAS, CADA UMA DAS QUAIS DEVENDO SER EXECUTADAS MECÂNICA OU ELETRONICAMENTE EM UM INTERVALO DE TEMPO FINITO E COM UMA QUANTIDADE DE ESFORÇO FINITA. ENCOSTA: DECLIVE DE MONTANHA; PARTE DA MONTANHA QUE VAI DIMINUINDO GRADUALMENTE. HOTSPOTS: SÃO A INTERSEÇÃO DE UMA ELEVADA CONCENTRAÇÃO DE ESPÉCIES NÃO ENCONTRADAS EM NENHUMA OUTRA PARTE E DE NÍVEIS EXTRAORDINARIAMENTE ELEVADOS DE DESTRUIÇÃO DE HABITATS.     RESUMO: DE ACORDO COM NORMAN MYERS, A MAIORIA DAS ESPÉCIES DE PLANTAS POSSUEM UMA DISTRIBUIÇÃO DESIGUAL NO MUNDO. LEVANDO-O A PENSAR QUE, SE ALGUMAS ÁREAS SÃO MAIS BIOLOGICAMENTE DIVERSA DO QUE OUTRAS, TALVEZ SEJA MELHOR PROTEGER AS ÁREAS MAIS ABUNDANTES DO QUE AS MAIS POBRES EM ESPÉCIES. SENDO ASSIM, ELE BUSCOU EM SEUS ESTUDOS A MANEIRA DE DECIDIR QUAIS LUGARES DO PLANETA SERIAM OS MAIS IMPORTANTES PARA PROTEGER A BIODIVERSIDADE. ELE NOTOU TAMBÉM QUE, INFELIZMENTE, AS ÁREAS MAIS RICAS EM ESPÉCIES SÃO AS QUE MAIS SOFREM COM A DESTRUIÇÃO DE HABITATS, ESSAS REGIÕES ELE DENOMINOU DE HOTSPOTS. COMEÇARAM AS PESQUISAS PARA SABER QUAIS ÁREAS SERIAM AS MAIS IMPORTANTES PARA SEREM CONSERVADAS, O QUE TEM SIDO UM TRABALHO DIFÍCIL, VISTO QUE OS HOTSPOTS SÃO MUITO GRANDE PARA SEREM PROTEGIDOS TOTALMENTE.",JC
"NOS ESTUDOS AMBIENTAIS, ENTENDE-SE POR HOTSPOT TODA ÁREA NATURAL CUJA PRESERVAÇÃO É PRIORIDADE EM NÍVEIS MUNDIAIS EM RAZÃO DE SUAS ELEVADAS AMEAÇAS DE EXTINÇÃO. POR DEFINIÇÃO, É CONSIDERADA COMO HOTSPOT TODA ÁREA COM PELO MENOS 1500 ESPÉCIES ENDÊMICAS (QUE SÓ EXISTEM NAQUELA REGIÃO) E QUE JÁ PERDEU MAIS DE ¾ DE SUA VEGETAÇÃO ORIGINAL. NO BRASIL, DOIS DOMÍNIOS NATURAIS SÃO CLASSIFICADOS COMO TAL: O CERRADO E A MATA ATLÂNTICA.  A EXPRESSÃO HOTSPOT É UTILIZADA EM VÁRIAS ÁREAS DO CONHECIMENTO, DA TECNOLOGIA DA INFORMAÇÃO À GENÉTICA, E QUER DIZER, EM TRADUÇÃO LIVRE, “PONTOS QUENTES”. NAS CIÊNCIAS AMBIENTAIS, O CONCEITO FOI DESENVOLVIDO PELO ECÓLOGO INGLÊS NORMAN MYERS, EM 1988, COM O OBJETIVO DE DELIMITAR AS ÁREAS DE PRESERVAÇÃO URGENTE NO PLANETA TERRA.  EM SEU ESTUDO, MYERS INICIALMENTE CLASSIFICOU DEZ DOMÍNIOS NATURAIS COMO HOTSPOTS, INCLUINDO NOTADAMENTE AS FLORESTAS TROPICAIS. NO BRASIL, NESSE MOMENTO, INCLUIU-SE APENAS A MATA ATLÂNTICA. DENTRE OUTRAS DESSAS ÁREAS, DESTACAM-SE O ESPAÇO NATURAL DE MADAGASCAR E OS ANDES, ESSE ÚLTIMO NA AMÉRICA DO SUL.",SDJME
"A MATA ATLÂNTICA É UM DOS HOTSPOT DO MUNDO EM VIRTUDE DE SEU GRANDE ENDEMISMO, ESSAS ÁREAS SÃO, PORTANTO, LOCAIS QUE NECESSITAM DE ATENÇÃO URGENTE, SENDO CONSIDERADOS PRIORITÁRIOS NOS PROGRAMAS DE CONSERVAÇÃO. ATRAVÉS DOS HOTSPOT GRUPOS DE CONSERVAÇÃO PODERIAM SALVAR MAIS ESPÉCIES EM UMA MENOR ÁREA E, PRESUMIVELMENTE, A UM CUSTO MAIS BAIXO DO QUE EM OUTROS LUGARES.              O PROBLEMA ENCONTRADO NOS HOTSPOT É A DIFICULDADE DE LOCALIZAR ONDE EXATAMENTE TODAS AS ESPÉCIES DESCONHECIDAS PODERIAM OCORRER. COM ISSO, A COMUNIDADE CIENTÍFICA CONTINUA APERFEIÇOANDO OS CONHECIMENTOS SOBRE AS DISTRIBUIÇÕES DAS ESPÉCIES.              CIENTISTAS CADA VEZ MAIS USAM MODELOS COMPUTADORIZADOS PARA APERFEIÇOAR ESSES ESFORÇOS. AVANÇOS NO SENSORIAMENTO REMOTO E NOS SISTEMAS DE INFORMAÇÕES GEOGRÁFICAS PERMITINDO ASSIM ESTENDER A INFORMAÇÃO LIMITADA DE CAMPO POR ÁREAS GRANDES DEMAIS PARA INSPECIONAR EM DETALHES. OS RESULTADOS DESSES MODELOS PODEM ENTÃO FORNECER DADOS PARA ANÁLISES DE HOTSPOT DE ESCALAS MAIS REFINADAS.",BMM
"1- POOL GENÉTICO: É O CONJUNTO DE TODOS OS ALELOS ÚNICOS DE UMA DETERMINADA POPULAÇÃO OU ESPÉCIE QUE NUM DADO MOMENTO OCUPAM UMA DETERMINADA ÁREA GEOGRÁFICA QUE TROCAM LIVREMENTE ENTRE SI OS SEUS GENES E QUE FORMARÃO A BASE PARA O FUNDO GENÉTICO DA GERAÇÃO SEGUINTE. INÓSPITAS: LOCAL EM QUE NÃO HÁ CONDIÇÕES PARA SER HABITADO OU ONDE NÃO SE CONSEGUE VIVER. INTERCAMBIÁVEIS: SIGNIFICA QUE DUAS COISAS DIFERENTES PODEM SER USADAS ALTERNADAMENTE COM O MESMO PROPÓSITO SEM O QUE O RESULTADO SEJA PREJUDICADO. AMORFA: QUE NÃO TEM FORMA DETERMINADA. FRAGMENTAÇÃO DE HABITATS: A FRAGMENTAÇÃO DE HABITAT É O PROCESSO DE DIVISÃO E MODIFICAÇÃO DAS ÁREAS DE OCUPAÇÃO DE UMA ESPÉCIE. É DEFINIDA, POR CONCEITO, COMO 'O CONJUNTO DE MECANISMOS QUE LEVAM A DESCONTINUIDADE NA DISTRIBUIÇÃO ESPACIAL DOS RECURSOS E CONDIÇÕES PRESENTES EM UMA ÁREA, EM ESCALA, QUE AFETA A OCUPAÇÃO, REPRODUÇÃO E SOBREVIVÊNCIA DE UMA ESPÉCIE'. INSULARIDADE: O QUE PODE SER UTILIZADO PARA CARACTERIZAR OU DEFINIR UMA ILHA. QUE NÃO CONSEGUE SE COMUNICAR DA TERRA PARA OUTROS LOCAIS.  2- MINHAS DÚVIDAS SÃO: SERÁ QUE AS PESSOAS SABEM DA IMPORTÂNCIA QUE É PRESERVARMOS A NATUREZA DE UM MODO GERAL? QUAIS SÃO AS MEDIDAS QUE DEVEM SER TOMADAS PARA QUE A PRESERVAÇÃO DA BIODIVERSIDADE SEJA LEVADA MAIS A SÉRIO?  3- O LIVRO OFERECE UMA VISÃO GERAL DESSA DIVERSIDADE BIOLÓGICA E TRAZ UM AVISO URGENTE DE QUE ESTAMOS ALTERANDO E DESTRUINDO OS AMBIENTES QUE CRIARAM A DIVERSIDADE DE FORMAS DE VIDA POR MAIS DE UM BILHÃO DE ANOS!",JC
