Text,Author
"Mudas de algumas espécies foram submetidas a experimentos como serem transplantadas em sacos plásticos pretos com capacidade de 4,5L, contendo substrato comercial e outras plantas arbóreas foram submetidas a tratamento com total contato a luz solar em local aberto transplantadas em solo adubado. 

Que ambas as plantas onde foram realizados os experimentos tivessem o mesmo resultado, exceto pelas arbóreas que tiveram maiores respostas quanto a crescimento.

Que as foram cultivadas em solo adubada e com maior incidência solar, mostraram maior sucesso de crescimento e estabilidade ecológica do que as que foram cultivadas no saco preto e sem muito contato com luz do sol.

Devido a algumas espécies serem capazes de adaptar-se a determinado ambiente, tanto maior e menor grau ( ° ), a plasticidade fenotípica acaba por ser fundamental para a manutenção e sobrevivência de algumas espécies. Elas entendem que devem se adaptar para manter seu processo de crescimento. 

São vegetais que não necessariamente precisam de plasticidade fenotípica, pois em sua composição interna ou fatores que favoreçam seu crescimento, exista algo que não permita a alteração fisiológica e morfológica, em determinado ambiente e clima.

Dos meios evolutivos em certas espécies, quando a plasticidade fenotípica favorece e pode desfavorecer de certo modo, como por exemplo, as folhas de Boldo mirim ( Plectranthus neochilus Schltr. ) quando cultivadas em sombra tem um tamanho 2 vezes maior do que quando cultivadas em sol intenso, devido a necessidade de encontrar a luz solar.
",annbialea
"Respostas Ecologia Evolutiva

Retirar uma amostra  planta  Mata e replanta-la em um recipiente com um solo carente em água. Ou em um outro ambiente, desde que fosse um com poucos recurso hídricos.

Se as plantas forem  mesma espécie, possivelmente suas raízes tenderiam a crescer em busca de água e nutrientes.

Em caso de não haver plasticidade fenotípica; poderia ser por ter ocorrido um efeito gargalo de garrafa, no qual os alelos que possibilitaram essa plasticidade foram perdidos por uma seleção natural; Mas também poderia ter ocorrido outro processo, o efeito fundador, no qual após a seleção sobrou poucos indivíduos que já não possuiriam os alelos para usar essa estratégia. 

No caso de todas possuírem essa estratégia, poderia ser pelo fato  de que o ambiente passava por períodos de seca e somente aqueles que tinha essa informação genética conseguiam sobreviver e se reproduzir, propagando os alelos para as próximas gerações ( Seleção Natural ).

As plantas que não possuíssem uma plasticidade, poderiam ter sobrevivido devido a outras características que já a tornava capaz de  suportar as pressões do meio. Exemplo os cactos, eles não precisam crescer suas raízes, já que possuem uma estrutura que armazena água e outra que evita a perda de água para o meio.

Favoreceria a Presença Se em uma determinada situação de estresse ( Pressão Ambiental ) fosse repetida e os indivíduos que possuíssem uma determinada informação de plasticidade, que os favoreça, conseguiriam suportar e reproduzir por causa dessa plasticidade, aqueles que não a possuíssem não conseguiriam suportar e seriam eliminados do ambiente.
Exemplo uma planta passa por períodos  de seca frequente, mas como possui alelos que permitem um alongamento das raízes, estas plantas conseguem sobreviver, as que não possuíssem seriam eliminadas do ambiente.

Favoreceria a Ausência  Quando os indivíduos possuem outra características fenotípicas que a possibilita suporta as pressões do ambiente, nesse caso a plasticidade se irrelevante. Repetindo o exemplo do cacto, para a planta vai gastar energia fazendo as raízes crescerem se ela possui outras estruturas, já desenvolvidas, que servem para armazenar e evitar a perda de água e nutrientes, os quais duram tempo o bastante. Seria apenas um desperdício de energia!

",pdje
"1 - Competição entre membros de espécies diferentes que usam os mesmos recursos limitados. Os recursos costumam ser limitados em um habitat e muitas espécies podem competir para consegui-los. O efeito geral  competição interespecífica é negativo para as duas espécies participantes, ou seja, cada espécie estaria melhor se a outra espécie não estivesse presente. Com tudo referente à complementaridade de nicho O princípio exclusão competitiva diz que duas espécies competidoras podem concorrer em determinado local, mas para isso elas precisam possuir nichos realizados diferentes. 

2 - Em referente ao primeiro estudo de caso ( Asterionella formosa/ Synedra ulna ) a ocorrência competitiva devido ao mesmo recurso ( silicato ) apresenta princípio  exclusão competitivas onde ambas ocupando o mesmo nicho em que a capacidade suporte influencia na exclusão de uma espécie. No segundo caso a relação de coexistência  diversidade de espécie de peixe-palhaço esta relacionada com a quantidade de anêmonas onde o seu principal recursos esta no abrigo possibilitando a produtividade e perpetuação  espécie de peixe, além disso, devido a população desse peixe esta ligado ao recurso limitante por anêmona criando uma diversidade que utiliza diferentes nichos devido ao distanciamento de cada anêmona do estudo.

3 - O princípio  exclusão competitiva ou, como também é chamado, Lei de Gause, é uma proposição que afirma que, em um ambiente estável no qual os indivíduos se distribuem de forma homogênea, duas espécies com nichos ecológicos parecidos não podem coexistir, devido a pressão evolutiva exercida pela competição. De acordo com esse princípio, um dos competidores terminará por sobrepujar ao outro, o que pode acarretar mudanças morfológicas, comportamentais, deslocamento de nicho ecológico ou até mesmo a extinção  espécie em desvantagem. Em suma, o que esse conceito quer dizer é que competidores completos não podem coexistir. 
",fadj
"Embora a temática  questão ambiental esteja numa crescente há anos, é inegável que estamos mergulhados numa crise ambiental. Por sua vez, é notável que tal possui origem sistêmica, uma vez que  na esfera mundial atual globalizada tudo se interliga, e, não poderia ser diferente no tocante ao meio ambiente.
",sdjme
"Epistemologia: Significa ciência, conhecimento, é o estudo científico que trata dos problemas relacionados com a crença e o conhecimento, sua natureza e limitações. epistemologia estuda a origem, a estrutura, os métodos e a validade do conhecimento, e também é conhecida como teoria do conhecimento e relaciona-se com a metafísica, a lógica e a filosofia  ciência.

Subsídio: é um auxílio, uma ajuda, uma aporte, um benefício. Subsídio é uma contribuição financeira ou de outra ordem, que se presta a qualquer empresa ou particulares com a finalidade de ajudar ou socorrer.

Pessimista: Pessimista é o adjetivo que qualifica a pessoa que prefere enxergar o lado negativo das coisas, esperando sempre pelo pior de todas as situações. O pessimista é o oposto do otimista.

Empírico: Empírico é um fato que se apoia somente em experiências vividas, na observação de coisas, e não em teorias e métodos científicos. Empírico é aquele conhecimento adquirido durante toda a vida, no dia-a-dia, que não tem comprovação científica nenhuma.

Dogma: Dogma é um termo de origem grega que significa literalmente “o que se pensa é verdade”.

Ecótono: Um ecótono é uma região resultante do contato entre dois ou mais biomas fronteiriços. São áreas de transição ambiental, onde entram em contato diferentes comunidades ecológicas.

RESUMO: A ecologia é a ciência que se propõe a ajudar na busca de soluções para problemas como o de estabelecimento de prioridades para conservação. Porém, algumas medidas não são plausíveis quando as analisamos com atenção. O fato de fragmentos menores serem considerados menos prioritários para conservação, do que fragmentos maiores em tamanho, nos leva a refletir que algumas teorias tenham que ser analisadas com mais cautela.



",jc
"A ciência vem a cada dia buscando entender as relações estabelecidas entre os seres e o meio ambiente, afin de proporcionar um habitat favorável as mais diversas forma de vida. sendo necessário a produção de conhecimento teórico colocado na prática afin de poder analisar cada espécie com suas respectivas características, podendo assim conhecer processos como migração, extinção ou introdução de espécies no habitat, e assim poder realizar procedimentos preventivos para manter a estabilidade, principalmente nos ambientes tido como frágeis, bem como manter a conectância entre esses habitats apesar de suas dimensões fractais. Por isso a importância em ter o controle de espécies endêmicas e exóticas para que não ocorra desequilíbrio no ecossistema, mas sim que busque uma harmonia entre todos os seres daquele ambiente.

 Como ciência, ela busca soluções que visem estabelecer prioridades para a conservação; para isso faz-se necessário o conhecimento teórico para que sua prática seja eficaz, garantindo que haja melhoramento  conservação biológica.

      2 ) Afin de explicar a variação em riqueza de espécies durante o tempo ecológico. Propõe que essa variação em riqueza pode ser constante, ainda que haja mudanças taxonômicas.
No tempo ecológico,  catástrofe e perturbações impedem ou dificultam o equilíbrio das espécies;
de imigração são homogêneos dentro e entre arquipélagos.
Todas as espécies são independentes e equivalents..
Dificuldade em relação a mudanças na quantidade e variedade existente entre os táxons.

3 ) Obstáculos na implantação de estudos e monitoramento; problemas em definição de números e variáveis a serem examinadas e determinadas.

4 ) Diversidade de espécies; Conectância; Força das interações.
 
5 ) Ela favorece a elaboração de hipóteses todavia nao  um valor determinado visto que as mudanças, principalmente em quantidade, varia rapidamente, mas ainda pode fornecer informações de grande importância.

6 ) a: Que existe postura ética e  religiosa afin de garantir a sobrevivência dessas espécies, tendo em vista que elas têm um papel importante no ecossistema; e que sua restrição em determinada área não significa sua fragilidade, mas que raras e endêmicas precisam ter sempre cuidados afin de mantê-las bem.
b: Estas podem consumir espécies nativas, infectá-las ou excluí-las competitivamente, alterando o funcionamento do ecossistema. Mas que estas também podem conviver desde que se tenha o conhecimento de sua interferência.

7 )  Propício a interferencias em outros ambientes, visto que cuidar de uma parte do ambiente e deixar outra parte sem o devido cuidado nao se esta tendo muitas vantagens, se deixa os arredores e os dependentes em condições menos favorecidas.
",sdfi
"   Pode-se dizer que, conservar um dado habitat ou uma dada espécie normalmente implica gastos de recursos. No entanto, a Ecologia se propõe a ajudar na busca de soluções para problemas ambientais, e acredita-se na necessidade de crescimento teórico em Ecologia para aumentar seu poder preditivo e sua capacidade de resolver problemas práticos, ou seja, crê que a ecologia deva ir  teoria para a explicação do caso. 
         Nisto reside o grande papel que o Brasil pode desempenhar em termos do avanço científico em Ecologia e Conservação. Já que nossas fronteiras guardam grande parte  riqueza biológica do planeta, cabe a nós temos o domínio sobre essas ciências.
",bmm
"Resumo do artigo - Prioridades para a conservação: A linha tênue que separa teorias e dogmas
 
            	É essencial estabelecer critérios para priorização de ações de conservação. Até então a ecologia tem sido na sua maior parte como uma ciência aplicada e suas bases teóricas apesar de importantes ainda são insuficientes perto  demanda que a complexidade  natureza exige.
            	A Teoria de biogeografia de ilhas é uma destas bases. Ela propõe que a variação  riqueza de espécies pode ser constante mesmo que a composição taxonômica mude. O equilíbrio seria dinâmico, portanto.  Algumas de suas implicações para conservação são reservas maiores são preferíveis devido aos efeitos de borda, agrupamentos são preferíveis, maior proximidade entre fragmentos é preferível e fragmentos de habitat devem ser conectados. Ela e suas variações consistem nas teorias neutras  ecologia. Mesmo com falhas essa teoria tem sido amplamente empregada tratada quase como dogma por alguns pesquisadores. No entanto, um estudo demonstrou que a maior riqueza de espécies estava nos menores fragmentos ( Rodrigues, 1998 ).
            	Outra questão teórica importante é a  estimativa de estabilidade. Esta pode ser estimada por resiliência ( velocidade de retorno ), complexidade ou dimensão fractal. Existe uma ideia difundida que sistemas de alta diversidade são mais frágeis; no entanto, ecossistemas menos diversos como restingas e outros ecótonos põe essa máxima em cheque e devido a dogmatização  mesma exceções não são problematizadas.
            	Acredita-se atualmente na ecologia que hotspots são áreas prioritárias pra conservação. Além de estudos científicos, essa posição é marcada por uma perspectiva de “arca de nóe”, na qual deve-se salvar todas as espécies. Restrição geográfica não é necessariamente  sinônimo de fragilidade  espécie. Por fim, espécies exóticas são normalmente tidas como vilões ambientais. Ainda que muitas vezes elas de fato causem transtornos, mais uma vez ser exótica não é sinônimo de ser invasora.
            	Se faz necessário que a ecologia desenvolva mais sua face teórica para que sejam tomadas decisões de conservação mais acertadas.
",gnem
"
Termos: Alocar: Dispor ou pôr ( alguma coisa ou alguém ) num local específico de uma listagem ou sequência de lugares: alocar alunos.
Inspecionar: Examinar para controlar: inspecionar um colégio.
Algoritmos: Algoritmo é uma sequência finita de instruções bem definidas e não ambíguas, cada uma das quais devendo ser executadas mecânica ou eletronicamente em um intervalo de tempo finito e com uma quantidade de esforço finita.
Encosta: Declive de montanha; parte  montanha que vai diminuindo gradualmente.
Hotspots: são a interseção de uma elevada concentração de espécies não encontradas em nenhuma outra parte e de níveis extraordinariamente elevados de destruição de habitats.  


Resumo: De acordo com Norman Myers, a maioria das espécies de plantas possuem uma distribuição desigual no mundo. Levando-o a pensar que, se algumas áreas são mais biologicamente diversa do que outras, talvez seja melhor proteger as áreas mais abundantes do que as mais pobres em espécies. Sendo assim, ele buscou em seus estudos a maneira de decidir quais lugares do planeta seriam os mais importantes para proteger a biodiversidade. Ele notou também que, infelizmente, as áreas mais ricas em espécies são as que mais sofrem com a destruição de habitats, essas regiões ele denominou de hotspots. Começaram as pesquisas para saber quais áreas seriam as mais importantes para serem conservadas, o que tem sido um trabalho difícil, visto que os hotspots são muito grande para serem protegidos totalmente. 
",jc
"Nos estudos ambientais, entende-se por hotspot toda área natural cuja preservação é prioridade em níveis mundiais em razão de suas elevadas ameaças de extinção. Por definição, é considerada como hotspot toda área com pelo menos 1500 espécies endêmicas ( que só existem naquela região ) e que já perdeu mais de ¾ de sua vegetação original. No Brasil, dois domínios naturais são classificados como tal: o Cerrado e a Mata Atlântica.

A expressão hotspot é utilizada em várias áreas do conhecimento,  Tecnologia  Informação à Genética, e quer dizer, em tradução livre, ?pontos quentes?. Nas ciências ambientais, o conceito foi desenvolvido pelo ecólogo inglês Norman Myers, em 1988, com o objetivo de delimitar as áreas de preservação urgente no planeta Terra.

Em seu estudo, Myers inicialmente classificou dez domínios naturais como hotspots, incluindo notadamente as florestas tropicais. No Brasil, nesse momento, incluiu-se apenas a Mata Atlântica. Dentre outras dessas áreas, destacam-se o espaço natural de Madagascar e os Andes, esse último na América do Sul.
",sdjme
